date,Row Number,Owner,Google Trends Suggestion,Google Trends Search Term,SVI Index
2004-01,3857,COLLIER (ALAN),N/A,N/A,0
2004-02,3857,COLLIER (ALAN),N/A,N/A,0
2004-03,3857,COLLIER (ALAN),N/A,N/A,100
2004-04,3857,COLLIER (ALAN),N/A,N/A,0
2004-05,3857,COLLIER (ALAN),N/A,N/A,0
2004-06,3857,COLLIER (ALAN),N/A,N/A,0
2004-07,3857,COLLIER (ALAN),N/A,N/A,0
2004-08,3857,COLLIER (ALAN),N/A,N/A,66
2004-09,3857,COLLIER (ALAN),N/A,N/A,0
2004-10,3857,COLLIER (ALAN),N/A,N/A,0
2004-11,3857,COLLIER (ALAN),N/A,N/A,0
2004-12,3857,COLLIER (ALAN),N/A,N/A,0
2005-01,3857,COLLIER (ALAN),N/A,N/A,52
2005-02,3857,COLLIER (ALAN),N/A,N/A,0
2005-03,3857,COLLIER (ALAN),N/A,N/A,46
2005-04,3857,COLLIER (ALAN),N/A,N/A,0
2005-05,3857,COLLIER (ALAN),N/A,N/A,0
2005-06,3857,COLLIER (ALAN),N/A,N/A,0
2005-07,3857,COLLIER (ALAN),N/A,N/A,0
2005-08,3857,COLLIER (ALAN),N/A,N/A,45
2005-09,3857,COLLIER (ALAN),N/A,N/A,0
2005-10,3857,COLLIER (ALAN),N/A,N/A,39
2005-11,3857,COLLIER (ALAN),N/A,N/A,0
2005-12,3857,COLLIER (ALAN),N/A,N/A,38
2006-01,3857,COLLIER (ALAN),N/A,N/A,34
2006-02,3857,COLLIER (ALAN),N/A,N/A,0
2006-03,3857,COLLIER (ALAN),N/A,N/A,0
2006-04,3857,COLLIER (ALAN),N/A,N/A,33
2006-05,3857,COLLIER (ALAN),N/A,N/A,31
2006-06,3857,COLLIER (ALAN),N/A,N/A,33
2006-07,3857,COLLIER (ALAN),N/A,N/A,0
2006-08,3857,COLLIER (ALAN),N/A,N/A,0
2006-09,3857,COLLIER (ALAN),N/A,N/A,0
2006-10,3857,COLLIER (ALAN),N/A,N/A,0
2006-11,3857,COLLIER (ALAN),N/A,N/A,0
2006-12,3857,COLLIER (ALAN),N/A,N/A,27
2007-01,3857,COLLIER (ALAN),N/A,N/A,23
2007-02,3857,COLLIER (ALAN),N/A,N/A,0
2007-03,3857,COLLIER (ALAN),N/A,N/A,0
2007-04,3857,COLLIER (ALAN),N/A,N/A,23
2007-05,3857,COLLIER (ALAN),N/A,N/A,62
2007-06,3857,COLLIER (ALAN),N/A,N/A,0
2007-07,3857,COLLIER (ALAN),N/A,N/A,62
2007-08,3857,COLLIER (ALAN),N/A,N/A,60
2007-09,3857,COLLIER (ALAN),N/A,N/A,20
2007-10,3857,COLLIER (ALAN),N/A,N/A,0
2007-11,3857,COLLIER (ALAN),N/A,N/A,36
2007-12,3857,COLLIER (ALAN),N/A,N/A,37
2008-01,3857,COLLIER (ALAN),N/A,N/A,0
2008-02,3857,COLLIER (ALAN),N/A,N/A,34
2008-03,3857,COLLIER (ALAN),N/A,N/A,16
2008-04,3857,COLLIER (ALAN),N/A,N/A,0
2008-05,3857,COLLIER (ALAN),N/A,N/A,0
2008-06,3857,COLLIER (ALAN),N/A,N/A,17
2008-07,3857,COLLIER (ALAN),N/A,N/A,0
2008-08,3857,COLLIER (ALAN),N/A,N/A,16
2008-09,3857,COLLIER (ALAN),N/A,N/A,15
2008-10,3857,COLLIER (ALAN),N/A,N/A,0
2008-11,3857,COLLIER (ALAN),N/A,N/A,62
2008-12,3857,COLLIER (ALAN),N/A,N/A,0
2009-01,3857,COLLIER (ALAN),N/A,N/A,0
2009-02,3857,COLLIER (ALAN),N/A,N/A,0
2009-03,3857,COLLIER (ALAN),N/A,N/A,27
2009-04,3857,COLLIER (ALAN),N/A,N/A,27
2009-05,3857,COLLIER (ALAN),N/A,N/A,14
2009-06,3857,COLLIER (ALAN),N/A,N/A,28
2009-07,3857,COLLIER (ALAN),N/A,N/A,14
2009-08,3857,COLLIER (ALAN),N/A,N/A,14
2009-09,3857,COLLIER (ALAN),N/A,N/A,53
2009-10,3857,COLLIER (ALAN),N/A,N/A,25
2009-11,3857,COLLIER (ALAN),N/A,N/A,0
2009-12,3857,COLLIER (ALAN),N/A,N/A,0
2010-01,3857,COLLIER (ALAN),N/A,N/A,12
2010-02,3857,COLLIER (ALAN),N/A,N/A,0
2010-03,3857,COLLIER (ALAN),N/A,N/A,34
2010-04,3857,COLLIER (ALAN),N/A,N/A,12
2010-05,3857,COLLIER (ALAN),N/A,N/A,36
2010-06,3857,COLLIER (ALAN),N/A,N/A,12
2010-07,3857,COLLIER (ALAN),N/A,N/A,0
2010-08,3857,COLLIER (ALAN),N/A,N/A,10
2010-09,3857,COLLIER (ALAN),N/A,N/A,20
2010-10,3857,COLLIER (ALAN),N/A,N/A,19
2010-11,3857,COLLIER (ALAN),N/A,N/A,9
2010-12,3857,COLLIER (ALAN),N/A,N/A,9
2011-01,3857,COLLIER (ALAN),N/A,N/A,15
2011-02,3857,COLLIER (ALAN),N/A,N/A,16
2011-03,3857,COLLIER (ALAN),N/A,N/A,36
2011-04,3857,COLLIER (ALAN),N/A,N/A,22
2011-05,3857,COLLIER (ALAN),N/A,N/A,0
2011-06,3857,COLLIER (ALAN),N/A,N/A,30
2011-07,3857,COLLIER (ALAN),N/A,N/A,15
2011-08,3857,COLLIER (ALAN),N/A,N/A,0
2011-09,3857,COLLIER (ALAN),N/A,N/A,34
2011-10,3857,COLLIER (ALAN),N/A,N/A,0
2011-11,3857,COLLIER (ALAN),N/A,N/A,0
2011-12,3857,COLLIER (ALAN),N/A,N/A,0
2012-01,3857,COLLIER (ALAN),N/A,N/A,6
2012-02,3857,COLLIER (ALAN),N/A,N/A,18
2012-03,3857,COLLIER (ALAN),N/A,N/A,6
2012-04,3857,COLLIER (ALAN),N/A,N/A,6
2012-05,3857,COLLIER (ALAN),N/A,N/A,6
2012-06,3857,COLLIER (ALAN),N/A,N/A,0
2012-07,3857,COLLIER (ALAN),N/A,N/A,23
2012-08,3857,COLLIER (ALAN),N/A,N/A,22
2012-09,3857,COLLIER (ALAN),N/A,N/A,17
2012-10,3857,COLLIER (ALAN),N/A,N/A,16
2012-11,3857,COLLIER (ALAN),N/A,N/A,5
2012-12,3857,COLLIER (ALAN),N/A,N/A,16
2013-01,3857,COLLIER (ALAN),N/A,N/A,15
2013-02,3857,COLLIER (ALAN),N/A,N/A,16
2013-03,3857,COLLIER (ALAN),N/A,N/A,9
2013-04,3857,COLLIER (ALAN),N/A,N/A,10
2013-05,3857,COLLIER (ALAN),N/A,N/A,5
2013-06,3857,COLLIER (ALAN),N/A,N/A,10
2013-07,3857,COLLIER (ALAN),N/A,N/A,20
2013-08,3857,COLLIER (ALAN),N/A,N/A,24
2013-09,3857,COLLIER (ALAN),N/A,N/A,14
2013-10,3857,COLLIER (ALAN),N/A,N/A,23
2013-11,3857,COLLIER (ALAN),N/A,N/A,5
2013-12,3857,COLLIER (ALAN),N/A,N/A,9
2014-01,3857,COLLIER (ALAN),N/A,N/A,40
2014-02,3857,COLLIER (ALAN),N/A,N/A,15
2014-03,3857,COLLIER (ALAN),N/A,N/A,18
2014-04,3857,COLLIER (ALAN),N/A,N/A,9
2014-05,3857,COLLIER (ALAN),N/A,N/A,19
2014-06,3857,COLLIER (ALAN),N/A,N/A,5
2014-07,3857,COLLIER (ALAN),N/A,N/A,21
2014-08,3857,COLLIER (ALAN),N/A,N/A,5
2014-09,3857,COLLIER (ALAN),N/A,N/A,0
2014-10,3857,COLLIER (ALAN),N/A,N/A,14
2014-11,3857,COLLIER (ALAN),N/A,N/A,31
2014-12,3857,COLLIER (ALAN),N/A,N/A,20
2015-01,3857,COLLIER (ALAN),N/A,N/A,14
2015-02,3857,COLLIER (ALAN),N/A,N/A,15
2015-03,3857,COLLIER (ALAN),N/A,N/A,29
2015-04,3857,COLLIER (ALAN),N/A,N/A,10
2015-05,3857,COLLIER (ALAN),N/A,N/A,10
2015-06,3857,COLLIER (ALAN),N/A,N/A,5
2015-07,3857,COLLIER (ALAN),N/A,N/A,6
2015-08,3857,COLLIER (ALAN),N/A,N/A,11
2015-09,3857,COLLIER (ALAN),N/A,N/A,16
2015-10,3857,COLLIER (ALAN),N/A,N/A,10
2015-11,3857,COLLIER (ALAN),N/A,N/A,16
2015-12,3857,COLLIER (ALAN),N/A,N/A,5
2016-01,3857,COLLIER (ALAN),N/A,N/A,8
2016-02,3857,COLLIER (ALAN),N/A,N/A,9
2016-03,3857,COLLIER (ALAN),N/A,N/A,20
2016-04,3857,COLLIER (ALAN),N/A,N/A,25
2016-05,3857,COLLIER (ALAN),N/A,N/A,0
2016-06,3857,COLLIER (ALAN),N/A,N/A,9
2016-07,3857,COLLIER (ALAN),N/A,N/A,13
2016-08,3857,COLLIER (ALAN),N/A,N/A,4
2016-09,3857,COLLIER (ALAN),N/A,N/A,4
2016-10,3857,COLLIER (ALAN),N/A,N/A,29
2016-11,3857,COLLIER (ALAN),N/A,N/A,0
2016-12,3857,COLLIER (ALAN),N/A,N/A,8
2017-01,3857,COLLIER (ALAN),N/A,N/A,15
2017-02,3857,COLLIER (ALAN),N/A,N/A,4
2017-03,3857,COLLIER (ALAN),N/A,N/A,0
2017-04,3857,COLLIER (ALAN),N/A,N/A,11
2017-05,3857,COLLIER (ALAN),N/A,N/A,8
2017-06,3857,COLLIER (ALAN),N/A,N/A,8
2017-07,3857,COLLIER (ALAN),N/A,N/A,21
2017-08,3857,COLLIER (ALAN),N/A,N/A,8
2017-09,3857,COLLIER (ALAN),N/A,N/A,8
2017-10,3857,COLLIER (ALAN),N/A,N/A,11
2017-11,3857,COLLIER (ALAN),N/A,N/A,0
2017-12,3857,COLLIER (ALAN),N/A,N/A,11
2018-01,3857,COLLIER (ALAN),N/A,N/A,7
2018-02,3857,COLLIER (ALAN),N/A,N/A,16
2018-03,3857,COLLIER (ALAN),N/A,N/A,7
2018-04,3857,COLLIER (ALAN),N/A,N/A,15
2018-05,3857,COLLIER (ALAN),N/A,N/A,11
2018-06,3857,COLLIER (ALAN),N/A,N/A,23
2018-07,3857,COLLIER (ALAN),N/A,N/A,0
2018-08,3857,COLLIER (ALAN),N/A,N/A,4
2018-09,3857,COLLIER (ALAN),N/A,N/A,0
2018-10,3857,COLLIER (ALAN),N/A,N/A,33
2018-11,3857,COLLIER (ALAN),N/A,N/A,11
2018-12,3857,COLLIER (ALAN),N/A,N/A,11
2019-01,3857,COLLIER (ALAN),N/A,N/A,4
2019-02,3857,COLLIER (ALAN),N/A,N/A,8
2019-03,3857,COLLIER (ALAN),N/A,N/A,4
2019-04,3857,COLLIER (ALAN),N/A,N/A,4
2019-05,3857,COLLIER (ALAN),N/A,N/A,7
2019-06,3857,COLLIER (ALAN),N/A,N/A,15
2019-07,3857,COLLIER (ALAN),N/A,N/A,15
2019-08,3857,COLLIER (ALAN),N/A,N/A,7
2019-09,3857,COLLIER (ALAN),N/A,N/A,14
2019-10,3857,COLLIER (ALAN),N/A,N/A,10
2019-11,3857,COLLIER (ALAN),N/A,N/A,3
2019-12,3857,COLLIER (ALAN),N/A,N/A,7
2020-01,3857,COLLIER (ALAN),N/A,N/A,13
2020-02,3857,COLLIER (ALAN),N/A,N/A,14
2020-03,3857,COLLIER (ALAN),N/A,N/A,0
2020-04,3857,COLLIER (ALAN),N/A,N/A,9
2020-05,3857,COLLIER (ALAN),N/A,N/A,15
2020-06,3857,COLLIER (ALAN),N/A,N/A,3
2020-07,3857,COLLIER (ALAN),N/A,N/A,6
2020-08,3857,COLLIER (ALAN),N/A,N/A,0
2020-09,3857,COLLIER (ALAN),N/A,N/A,9
2020-10,3857,COLLIER (ALAN),N/A,N/A,14
2020-11,3857,COLLIER (ALAN),N/A,N/A,7
2020-12,3857,COLLIER (ALAN),N/A,N/A,4
2021-01,3857,COLLIER (ALAN),N/A,N/A,10
